exponent,min_runtime_old,min_runtime_new
1747,0.0005993800004944205,9.20610036700964e-05
1748,0.0007878409960540012,9.146000229520723e-05
1749,0.0005666099968948402,9.283999679610133e-05
1750,0.0018601589981699362,0.0011511699995025992
1751,0.0006340589970932342,9.362000128021464e-05
1752,0.0006125200015958399,9.134999709203839e-05
1753,0.0006291300014709122,9.213900193572044e-05
1754,0.0005696599982911721,9.18200021260418e-05
1755,0.0005710000041290186,0.00011326000094413757
1756,0.0005618700015475042,9.193000005325302e-05
1757,0.0014465099957305938,9.272000170312822e-05
1758,0.001057230998412706,9.246099943993613e-05
1759,0.0011738799948943779,9.625000529922545e-05
1760,0.0005951500061200932,9.14999982342124e-05
1761,0.0005978000044706278,9.217899787472561e-05
1762,0.0006019400025252253,9.649999992689118e-05
1763,0.0006632999939029105,0.00013473100261762738
1764,0.0005654599954141304,9.279000369133428e-05
1765,0.0005924799988861196,9.343999408883974e-05
1766,0.0005769700001110323,0.0001167699956567958
1767,0.0007491500000469387,9.719000081531703e-05
1768,0.0032608399997116067,9.837999823503196e-05
1769,0.0006552199993166141,0.000120289005280938
1770,0.0007533699972555041,0.00012456099648261443
1771,0.0007545499975094572,9.441000293008983e-05
1772,0.000677721000101883,0.00011897999502252787
1773,0.0007692490034969524,0.00024619000032544136
1774,0.0006537099980050698,0.00011590000212891027
1775,0.00065308999910485,0.00016260000120382756
1776,0.0007198599996627308,0.00010248999751638621
1777,0.0006205390018294565,0.00013860000035492703
1778,0.0006066200003260747,9.517099533695728e-05
1779,0.0006579800028703175,9.63300044531934e-05
1780,0.0005967499964754097,9.424000018043444e-05
1781,0.0005374400061555207,9.935999696608633e-05
1782,0.0007095000037224963,9.876999683910981e-05
1783,0.0007521599982283078,0.0001323609976680018
1784,0.00067688000126509,9.541000326862559e-05
1785,0.0014318300018203445,0.00010188000305788592
1786,0.0011629000000539236,0.00010445000225445256
1787,0.0005665999997290783,0.00013644999853568152
1788,0.0006184390003909357,0.000105389000964351
1789,0.0005686000004061498,0.0001017399990814738
1790,0.0006032700039213523,0.0001031299980240874
1791,0.0005844400002388284,0.0001274800015380606
1792,0.0005244899948593229,9.924000187311321e-05
1793,0.0006277699940255843,9.9559998488985e-05
